IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.157.62.93,2082,0,false,ORD,North America,Chicago,307,0.00
15.223.65.10,2087,0,false,ORD,North America,Chicago,244,0.00
15.222.254.155,2082,0,false,ORD,North America,Chicago,250,0.00
13.51.105.208,80,0,false,ARN,Europe,Stockholm,194,0.00
13.58.43.16,2095,0,false,ORD,North America,Chicago,265,0.00
15.222.254.155,8443,0,false,ORD,North America,Chicago,250,0.00
3.129.64.170,2053,0,false,ORD,North America,Chicago,239,0.00
15.223.115.169,2086,0,false,ORD,North America,Chicago,252,0.00
15.222.62.90,2052,0,false,ORD,North America,Chicago,250,0.00
18.191.81.253,8080,0,false,ORD,North America,Chicago,293,0.00
15.222.62.175,2082,0,false,ORD,North America,Chicago,248,0.00
15.222.254.155,2095,0,false,ORD,North America,Chicago,303,0.00
15.222.4.96,2083,0,false,ORD,North America,Chicago,250,0.00
15.222.61.74,2082,0,false,ORD,North America,Chicago,252,0.00
15.222.254.155,8080,0,false,ORD,North America,Chicago,251,0.00
15.222.61.214,8080,0,false,ORD,North America,Chicago,258,0.00
15.223.65.10,2053,0,false,ORD,North America,Chicago,244,0.00
15.222.254.155,2096,0,false,ORD,North America,Chicago,246,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,193,0.00
13.58.43.16,2086,0,false,ORD,North America,Chicago,300,0.00
18.228.190.210,2053,0,false,ORD,North America,Chicago,383,0.00
15.222.61.74,2053,0,false,ORD,North America,Chicago,475,0.00
18.231.66.219,2083,0,false,ORD,North America,Chicago,350,0.00
18.231.179.145,2095,0,false,ORD,North America,Chicago,422,0.00
15.222.61.74,2095,0,false,ORD,North America,Chicago,249,0.00
15.228.243.91,2095,0,false,ORD,North America,Chicago,367,0.00
54.207.169.139,8080,0,false,ORD,North America,Chicago,367,0.00
18.230.227.254,443,0,false,ORD,North America,Chicago,370,0.00
54.233.119.172,80,0,false,ORD,North America,Chicago,367,0.00
18.230.62.44,2095,0,false,ORD,North America,Chicago,388,0.00
54.94.204.20,80,0,false,ORD,North America,Chicago,345,0.00
18.231.71.16,2083,0,false,ORD,North America,Chicago,351,0.00
15.228.243.91,2096,0,false,ORD,North America,Chicago,367,0.00
15.228.238.38,2052,0,false,ORD,North America,Chicago,372,0.00
18.231.96.107,2083,0,false,ORD,North America,Chicago,371,0.00
15.228.243.91,2082,0,false,ORD,North America,Chicago,357,0.00
15.228.238.38,2096,0,false,ORD,North America,Chicago,364,0.00
18.231.96.107,2096,0,false,ORD,North America,Chicago,380,0.00
18.230.227.254,2096,0,false,ORD,North America,Chicago,365,0.00
18.230.227.254,8443,0,false,ORD,North America,Chicago,355,0.00
15.228.192.27,80,0,false,ORD,North America,Chicago,371,0.00
18.230.227.254,2082,0,false,ORD,North America,Chicago,412,0.00
15.228.232.212,2082,0,false,ORD,North America,Chicago,382,0.00
18.228.190.210,443,0,false,ORD,North America,Chicago,411,0.00
18.228.39.179,80,0,false,ORD,North America,Chicago,356,0.00
18.230.21.38,2082,0,false,ORD,North America,Chicago,364,0.00
15.228.238.38,443,0,false,ORD,North America,Chicago,376,0.00
18.229.140.32,2052,0,false,ORD,North America,Chicago,376,0.00
18.230.21.38,8880,0,false,ORD,North America,Chicago,374,0.00
54.207.169.139,80,0,false,ORD,North America,Chicago,349,0.00
18.228.39.179,2086,0,false,ORD,North America,Chicago,428,0.00
18.231.96.107,8080,0,false,ORD,North America,Chicago,368,0.00
15.228.238.38,2082,0,false,ORD,North America,Chicago,375,0.00
